公司,年月,股東權益總額,當季季底P/E,季底普通股市值,TEJ主產業代碼
2008 高興昌,2020/12/31,"2,772,158",,"3,796,103",20A
2009 第一銅,2020/12/31,"4,548,719",133.27,"9,422,096",20A
2010 春源,2020/12/31,"10,995,110",14.16,"9,293,849",20A
2012 春雨,2020/12/31,"4,131,457",18.18,"6,259,085",20A
2013 中鋼構,2020/12/31,"4,807,058",20.64,"6,540,000",20A
2014 中鴻,2020/12/31,"15,233,274",49.29,"22,609,818",20A
2015 豐興,2020/12/31,"19,468,210",12.78,"41,351,689",20A
2017 官田鋼,2020/12/31,"5,271,719",50.51,"4,222,057",20A
2020 美亞,2020/12/31,"3,144,355",12.63,"4,305,878",20A
2022 聚亨,2020/12/31,"5,451,198",,"3,885,983",20A
2023 燁輝,2020/12/31,"27,831,114",44.12,"25,711,738",20A
2024 志聯,2020/12/31,"1,136,592",56.85,"1,608,750",20A
2025 千興,2020/12/31,"434,108",,"885,676",20A
2027 大成鋼,2020/12/31,"36,956,956",,"51,909,955",20A
2028 威致,2020/12/31,"3,006,687",13.79,"7,947,422",20A
2029 盛餘,2020/12/31,"8,910,744",24.26,"8,029,500",20A
2030 彰源,2020/12/31,"3,909,369",21.79,"4,067,627",20A
2031 新光鋼,2020/12/31,"8,101,430",23.81,"12,159,358",20A
2032 新鋼,2020/12/31,"1,708,979",22.59,"2,062,232",20A
2033 佳大,2020/12/31,"1,041,869",42.16,"1,133,751",20A
2034 允強,2020/12/31,"9,089,375",24.33,"12,480,062",20A
2038 海光,2020/12/31,"3,540,413",19.5,"3,879,050",20A
2049 上銀,2020/12/31,"27,389,394",64.77,"127,217,977",15A
2059 川湖,2020/12/31,"11,121,041",18.35,"28,303,209",20B
2062 橋椿,2020/12/31,"5,188,680",,"4,107,953",99B
2069 運錩,2020/12/31,"3,259,089",64.78,"2,838,406",20A
2101 南港,2020/12/31,"10,787,307",49.74,"34,983,531",21A
2102 泰豐,2020/12/31,"7,543,425",59.18,"9,324,581",21A
2103 台橡,2020/12/31,"15,858,659",16.27,"19,239,020",21C
2104 國際中橡,2020/12/31,"33,819,562",17.75,"25,504,585",21C
2105 正新,2020/12/31,"80,975,281",17.43,"142,784,331",21A
2106 建大,2020/12/31,"19,109,727",23.91,"31,783,880",21A
2107 厚生,2020/12/31,"11,182,259",9.14,"8,489,685",21B
2108 南帝,2020/12/31,"11,287,410",6.39,"30,086,618",21C
2109 華豐,2020/12/31,"4,524,978",5.73,"4,387,007",21A
2114 鑫永銓,2020/12/31,"2,525,111",12.4,"6,480,351",21B
2115 六暉-KY,2020/12/31,"2,719,423",4.87,"4,021,287",15D
2201 裕隆,2020/12/31,"64,875,320",48.71,"46,900,000",22A
2204 中華,2020/12/31,"45,706,644",7.7,"28,013,172",22A
2206 三陽工業,2020/12/31,"16,066,789",13.68,"28,669,849",22A
2207 和泰車,2020/12/31,"83,885,342",16.65,"351,193,097",22X
2208 台船,2020/12/31,"5,008,081",,"13,458,415",22B
2211 長榮鋼,2020/12/31,"16,797,569",10.63,"18,473,406",20A
2227 裕日車,2020/12/31,"21,674,551",9.55,"77,700,000",22X
2228 劍麟,2020/12/31,"3,681,694",29.91,"6,123,024",15D
2231 為升,2020/12/31,"3,568,748",84.15,"24,627,032",15D
2233 宇隆,2020/12/31,"2,839,481",11.62,"5,046,106",15D
2236 百達-KY,2020/12/31,"1,298,763",17.31,"916,301",15D
2239 英利-KY,2020/12/31,"13,445,532",12.25,"12,567,746",15D
2241 艾姆勒,2020/12/31,"1,678,002",395.23,"4,834,416",15D
2243 宏旭-KY,2020/12/31,"551,109",,"581,090",15D
2247 汎德永業,2020/12/31,"11,356,644",15.4,"20,419,124",22X
2250 第一化成-KY,2020/12/31,"988,387",,,22A
2301 光寶科,2020/12/31,"74,141,514",8.83,"117,073,177",23C
2302 麗正,2020/12/31,"1,738,886",36.32,"4,074,399",23D
2303 聯電,2020/12/31,"235,773,102",23.3,"605,146,345",23G
2305 全友,2020/12/31,"2,214,923",137.15,"2,056,600",23C
2308 台達電,2020/12/31,"178,589,641",19.43,"683,153,809",23D
2312 金寶,2020/12/31,"24,987,998",25.92,"17,824,111",23A
2313 華通,2020/12/31,"29,146,571",8.16,"51,844,170",23B
2314 台揚,2020/12/31,"2,419,530",,"7,604,734",23K
2316 楠梓電,2020/12/31,"7,350,506",13.76,"5,792,858",23B
2317 鴻海,2020/12/31,"1,474,146,409",9.59,"1,275,395,080",23A
2321 東訊,2020/12/31,"478,995",,"358,130",23K
2323 中環,2020/12/31,"19,321,651",47.91,"10,997,781",23C
2324 仁寶,2020/12/31,"115,989,650",7.13,"91,227,922",23A
2327 國巨,2020/12/31,"69,499,336",15.61,"257,437,712",23D
2328 廣宇,2020/12/31,"12,788,294",11.52,"13,295,575",23D
2329 華泰,2020/12/31,"7,602,768",,"9,786,308",23G
